Original_Symbol,Human_Official_Symbol
MUC5B,MUC5B
MYBL2,MYBL2
MYCL1,MYCL
NCF2,NCF2
NDRG1,NDRG1
Ngp,NA
NME1,NME1
NOS1,NOS1
Nos2,NOS2
NOS3,NOS3
Notch1,NOTCH1
NPY,NPY
NR3C1,NR3C1
NR4A2,NR4A2
Nr6a1,NR6A1
Ntrk2,NTRK2
NTRK3,NTRK3
Olr1nn,NA
PCDH11,PCDH11X
PCDH22,PCDH11X
Pdgfrb,PDGFRB
PECAM1,PECAM1
PLAU,PLAU
Pou4f 2,NA
Pou5f1,POU5F1P4
PPP3CA,PPP3CA
PPP3CB,PPP3CB
PRAM-1oo,NA
PRKCB1,PRKCB
PRKR,EIF2AK2
PRLR,PRLR
PRNP,PRNP
PTEN,PTEN
Ptgds,PTGDS
Ptgs1,PTGS1
PTGS2,PTGS2
Pth,PTH
Pthr,PTH1R
PTK2,PTK2
PTMA,PTMAP4
PTPN13,PTPN13
Rai2,RAI2
RARRES1,RARRES1
RARRES2,RARRES2
Rbp2,RBP2
RET,RET
Rho,RHO
RNPEP,RNPEP
Rrg1,SMYD5
RTN1,RTN1
RTN3,RTN3
Rxra,RXRA
S100A8,S100A8
SAG,SAG
SALFrr,NA
SCD,SCD
SCYA2,CCL2
SDC2,SDC2
SELL,SELL
SERPINC1,SERPINC1
SERPINE1,SERPINE1
SFTPC,SFTPC
Slc18a3,SLC18A3
Slc2a2,SLC2A2
Slugh,SNAI2
SOD2,SOD2
Sox9,SOX9
SP100,SP100
Sparc,SPARC
SPN,SPN
SPRR1Bss,NA
SULT2B1tt,NA
SUPT4H1,SUPT4H1
TAF2S,TCERG1
TAT,TAT
Tcf1,HNF1A
Tcf2,HNF1B
TFAP2A,TFAP2A
TFRC,TFRC
TGFA,TGFA
TGFB1,TGFB1
Tgfb2,TGFB2
Tgm1,TGM1
Th,TH
Thrsp,THRSP
Tnc,TNC
TOP2Aww,NA
TRA1,TRRAP
Trpm2,TRPM2
Tshb,TSHB
Tyr,TYR
Ucp2,UCP2
VDR,VDR
Vegfc,VEGFC
VIM,VIM
VIPR1,VIPR1
Wnt1,WNT1
Wnt3a,WNT3A
WT1,WT1
X17Czz,NA
ZNF42,MZF1
Znfn1a1,IKZF1
ADAMTS4aaa,NA
Adh1,ADH1A
Afp,AFP
Agc,NA
Agtr1a,NA
AHR,AHR
Arhgap5bbb,NA
ARNT,ARNT
Atp1a3,ATP1A3
BGLAP,BGLAP
BLR1,CXCR5
Bmp7,BMP7
BTK,BTK
Cal1ddd,NA
CCND3,CCND3
Cdrap,NA
Col1a1,COL1A1
Col1a2,COL1A2
Col4a1,COL4A1
COL7A1,COL7A1
Cp,CP
CRH,CRH
CSF1R,CSF1R
CTNNB1,CTNNB1
CTSD,CTSD
CTSG,CTSG
CTSL,CTSL
Cyp7a1,CYP7A1
DEFA1,DEFA1A3
EDN1,EDN1
ENPP2,ENPP2
Etnmg1,NA
Evx2,EVX2
FACL2,ACSL1
Fasn,FASN
Fbp1,FBP1
Fgf1,FGF1
Fgf 2,NA
Fgf 3,NA
FGF4,FGF4
Fosl1,FOSL1
FSCN2,FSCN2
Gja1,GJA1
GRIN1,GRIN1
Grnggg,NA
Gsc,GSC
Gsta4,GSTA4
H19,H19
Ha1riii,NA
HBP17,FGFBP1
HGF,HGF
Hoxa5,HOXA5
Htf 9c,NA
IBSP,IBSP
Ifng,IFNG
IGF2,IGF2
IGFBP4,IGFBP4
Ihh,IHH
Il12b,IL12B
IL2,IL2
IL8,CXCL8
Itga8jjj,NA
Itgb5kkk,NA
Itgb7,ITGB7
IVL,IVL
Kpna2lll,NA
KRT1,KRT1
KRT18,KRT18
KRT19,KRT19
KRT4,KRT4
KRT8,KRT8
Ldhb,LDHB
lef1,LEF1
Lmna,LMNA
Lpl,LCP1
